Organisation,Country,Status,Official name (+source),Also known as,Website,Instagram,Est. company size,Primary customers,Year founded,Ownership status,Core model,Geographic scope,Categories,Key partners / customers,Impact metrics,Conf: name,Conf: year,Conf: impact,Verification notes,GitHub slug,Short summary,Logo URL,Featured image URL,SEO description,Primary colour,Tags,Last verified date,Last updated date,Researcher,Source count,Overall confidence,Overall confidence score,REUSE priority rating,SDGs,Latitude,Longitude,Geocode precision
GoUnpackaged,United Kingdom (London),Active,GoUnpackaged (trading name); registered legal entity not conclusively confirmed in this research pass — see Verification Notes,Not publicly available,https://gounpackaged.com/,Not publicly available,Not publicly available,"Enterprise supermarkets and FMCG brands (named: Aldi UK, Ocado Retail); the consultancy also states it works with local authorities and brands more broadly on reuse/refill strategy, though specific named consultancy clients beyond the Refill Coalition partners were not found in public sources.","2006 — as ""Unpackaged,"" the original zero-waste retail concept founded by Catherine Conway; evolved into the ""GoUnpackaged"" reuse consultancy in a later, undated rebrand (previously traded as ""Just Unpackaged"") — see Verification Notes",Private company (exact company-law status not independently confirmed — see Verification Notes),"GoUnpackaged operates as a B2B reuse consultancy rather than a retailer, offering: product, service and business-model innovation for reuse; supply-chain analysis and systems modelling; commercial business-case development for clients considering refill/reuse; multi-party collaborative project delivery; consumer-insights and behaviour-change strategy; and policy development/thought leadership (the site lists a dedicated ""Policy and Research"" practice area). Its most visible current initiative is the Refill Coalition, convened in 2020, which brought together Aldi UK, Ocado Retail and supply-chain/logistics partner CHEP to develop a standardised,",United Kingdom (London),Packaging Solutions / Reuse Consultancy,"- Aldi UK — Refill Coalition partner; in-store trial launched October 2023 (gounpackaged.com) - Ocado Retail — Refill Coalition partner; online consumer trial launched 8 August 2024 (gounpackaged.com) - CHEP — supply-chain/logistics partner within the Refill Coalition (gounpackaged.com) - Innovate UK — funding body for Refill Coalition development (gounpackaged.com) Seed data also listed Waitrose & Partners, Marks & Spencer, Morrisons","- GoUnpackaged states its in-store Refill Coalition vessel replaces the equivalent of 24 single-use packs (based on a 500g rice pack comparison), and its online/home-delivery consumer vessel replaces the equivalent of 5 single-use packs — self-reported, relative (not cumulative) figures, undated to a specific year (gounpackaged.com/refill-coalition) - Awards received: Environmental Packaging Awards 2024 (Gold), National Recycling Awards 2024, and a Silver at the 2025 Sustainable Foods Awards (gounpackaged.com) — award recognition, not independently audited impact data Seed data's claim of",Medium,Medium,Low,"The exact registered legal entity behind the ""GoUnpackaged"" trading name was not conclusively confirmed in this research pass. A Companies House entity, ""Unpackaged Systems Ltd"" (company no. 13492629, incorporated 5 July 2021, registered in Lancashire), surfaced in search results as a possible match, but its registered address is inconsistent with GoUnpackaged's London-based public profile, and no direct corroborating link (e.g. a filing, officer match, or site reference) was found connecting it to Catherine Conway or gounpackaged.com. It is presented here",gounpackaged,"GoUnpackaged is a UK-based reuse-and-refill consultancy tracing its roots to Unpackaged, a zero-waste shop founded by Catherine Conway in 2006 — widely credited as the world's first modern zero-waste retail concept, originally a market stall before becoming a bricks-and-mortar shop in London stocking around 700 products, roughly 80% of them refillable. Following a 2015 supermarket trial with Planet Organic, the business transitioned from retail into consultancy, rebranding over time (via ""Just Unpackaged"") to GoUnpackaged. It",Not publicly available,Not publicly available,"GoUnpackaged is a UK-based reuse-and-refill consultancy tracing its roots to Unpackaged, a zero-waste shop founded by Catherine Conway in 2006 — widely credited as the world's first modern zero-waste retail",Not publicly available,"consumer-education, refill, reusable-packaging, reverse-logistics",2026-07-17,2026-07-17,AI,9,Low,50,★★★★ High,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,51.5074,-0.1278,city
Gra de Gràcia,Spain (Barcelona),Active,Gra de Gràcia,Not publicly available,https://www.gradegracia.cat/,Not publicly available,Not publicly available,"Individual consumers in Barcelona (primarily the Gràcia and Bonanova neighbourhoods) shopping in-store, plus online customers across the wider delivery area eligible for free shipping over €60.",2012,Private (independent small business),"Gra de Gràcia operates a direct-to-consumer bulk-retail model across three physical stores in Barcelona plus an online shop with home delivery (free above €60). Customers bring their own reusable containers and bags, or use the shop's paper bags, starch-based bags, or corn-starch tubs for moisture-sensitive products such as nut butters, honey, and olives. The company incentivises reuse directly at the point of sale: customers who bring their own containers or reuse bags receive a 3% discount on their total purchase.",Spain (Barcelona),Consumer Goods — Refill Systems,"Not publicly available. No verifiable third-party corporate, NGO, or government partnerships were found; the business appears to operate independently.","- Won an award for best shop/window design in 2014 (Barcelona retail design recognition, per Time Out Barcelona and TV Bio coverage). - No independently audited waste-reduction, plastic-avoided, or customer-count metrics were found.",High,High,Low,"Seed data described Gra de Gràcia simply as a ""zero-waste bulk organic grocer"" in Barcelona — this is fully corroborated. Founding year (2012) and co-founder names are corroborated across the official site (which names Sara Ingelmo among its team) and Time Out Barcelona/TV Bio coverage (which name Sara Ingelmo and Jordi Escoriza as the founders who opened the first Puigmartí store in 2012); one source (official site) also lists Laia Andreu and Hector Montetes as part of the current team,",gra-de-gracia,"Gra de Gràcia is a zero-waste bulk grocer founded in 2012 in Barcelona's Gràcia district, among the earlier ""botigues a granel"" (bulk shops) in the city. Co-founded by Sara Ingelmo and Jordi Escoriza, it began as a single store on Carrer Puigmartí and expanded to three Barcelona locations (Puigmartí, Bonanova, and Cigne) as the concept proved popular. The shop sells roughly 600 organic, natural, and locally-sourced dry and prepared goods — rice, pasta, legumes, spices,",Not publicly available,Not publicly available,"Gra de Gràcia is a zero-waste bulk grocer founded in 2012 in Barcelona's Gràcia district, among the earlier ""botigues a granel"" (bulk shops) in the city. Co-founded by Sara Ingelmo",Not publicly available,"consumer-education, refill, reusable-packaging, waste-reduction",2026-07-18,2026-07-18,AI,5,Medium,77,★★★ Medium,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,41.3874,2.1686,city
Gracz,"Thailand (Bangkok, HQ; manufacturing in Chai Nat Province)","Active, private company","Gracz (brand of Biodegradable Packaging for Environment Co., Ltd. / BPE)",Not publicly available,https://gracz.my/ (Malaysia-facing storefront); parent company site not independently confirmed,Not publicly available,Not publicly available,"B2B retail and food-service private-label clients (reported past supply to Walmart and Lidl); regional consumers and small food businesses via e-commerce platforms (Lazada, Amazon Malaysia/US listings, gracz.my, EcoQuote.com.my).","2005 (as BPE, under the ""Biochanaoy"" brand; renamed ""Gracz"" in 2012)","Privately held; shareholders reported to include MDS Group, Thailand's National Innovation Agency, and the Office of Small and Medium Enterprises Promotion","BPE/Gracz operates as a B2B and private-label manufacturer of compostable disposable foodware, supplying both branded ""Gracz"" retail lines and white-label products. Historically, roughly 70% of annual revenue has come from exports to developed markets, with BPE serving as a private-label supplier to major retailers such as Walmart and Lidl. The company has also pursued direct-to-consumer and regional distribution channels, including e-commerce storefronts such as gracz.my, which sells Gracz-branded compostable lunch boxes, bowls, and plates to Malaysian consumers and small businesses","Thailand (Bangkok, HQ; manufacturing in Chai Nat Province)",Compostable/biodegradable single-use foodware manufacturer,Not publicly available (historical retail-supply relationships with Walmart and Lidl reported in secondary sources but not independently verified via primary company statements).,"Not publicly available (no dated, verifiable sustainability metrics found; claims of ""45-day"" biodegradability and ""100% decomposable"" are marketing claims not sourced to a specific test standard or report).",High,Medium,Low,"- Corrected: seed data flagged the .my domain as suggesting Malaysia; verified true home base is Thailand (BPE, Bangkok HQ, Chai Nat Province manufacturing). gracz.my is a Malaysia-facing retail/distribution storefront, not the company HQ. - Corrected/clarified: seed described product as ""compostable bagasse items"" — confirmed accurate; also includes bamboo-fibre blends. - Founding year corrected/clarified: company founded 2005 as BPE under the ""Biochanaoy"" brand; ""Gracz"" branding dates to 2012. - Category caveat: this is fundamentally a compostable single-use packaging company, not",gracz,"Gracz is the consumer-facing brand of BPE (Biodegradable Packaging for Environment Co., Ltd.), a Thai manufacturer founded in 2005 that produces compostable tableware — plates, bowls, cups, clamshells, and cutlery — made from bagasse (sugarcane pulp fibre) and bamboo fibre blends. Originally sold under the ""Biochanaoy"" name, the brand was relaunched as ""Gracz"" in 2012. Manufacturing takes place in Chai Nat Province, Thailand, with products distributed regionally, including through the gracz.my e-commerce site serving Malaysia.",Not publicly available,Not publicly available,"Gracz is the consumer-facing brand of BPE (Biodegradable Packaging for Environment Co., Ltd.), a Thai manufacturer founded in 2005 that produces compostable tableware — plates, bowls, cups, clamshells, and cutlery",Not publicly available,"consumer-education, material-recovery, waste-reduction",2026-07-18,2026-07-18,AI,4,Medium,63,★★ Low,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,13.7563,100.5018,city
Gram Malmö,Sweden (Malmö),Active,Gram Malmö,Not publicly available,https://www.grammalmo.se/,Not publicly available,Not publicly available,Local Malmö residents and environmentally conscious consumers seeking package-free/zero-waste grocery options; online customers across Sweden via mail order.,2016,Privately held; founded by Rowan Drury,"Gram operates a bring-your-own-container (BYOC) retail model: dry goods, oils, cleaning products, and other consumables are dispensed from bulk containers, weighed at point of sale, and priced per unit weight, eliminating single-use packaging at checkout. The store prioritises sourcing from local and organic Swedish producers (flour, oats, legumes, honey, oils, dairy, seasonal vegetables, chocolate, coffee) alongside imported staples where local sourcing isn't feasible. Revenue comes from in-store retail sales plus online ordering with in-store pickup, Malmö-area delivery, or postal shipping",Sweden (Malmö),Zero-waste / package-free retail (refill grocery shop),"Not publicly available (site references local Swedish producers and organic farms as suppliers, but no named formal partnership agreements were independently verified).","Not publicly available (no dated, quantified waste-reduction or sales-volume metrics found in public sources).",High,High,Low,"- Confirmed seed description (bring-your-own-container zero-waste shop) as accurate. - Added founding year (2016) and founder name (Rowan Drury), not present in seed data. - No corrections needed to country/HQ (Sweden, Malmö) or website. --- Confidence — Name: High | Founding Year: High | Impact Data: Low | Last Verified: 2026-07-18 | Research Version: V5",gram-malmo,"Gram Malmö, founded in 2016 by Rowan Drury, was Sweden's first package-free grocery store. Located at Sankt Knuts Torg in Malmö, it sells over 300 items — food staples, produce, soaps, detergents, and household goods — entirely without pre-set packaging. Customers bring their own jars, boxes, or bags (or use provided paper bags) and buy loose goods by weight, paying only for what they need. The shop emphasises local and organic sourcing from Swedish producers",Not publicly available,Not publicly available,"Gram Malmö, founded in 2016 by Rowan Drury, was Sweden's first package-free grocery store. Located at Sankt Knuts Torg in Malmö, it sells over 300 items — food staples, produce,",Not publicly available,"consumer-education, refill, reusable-packaging, waste-reduction",2026-07-18,2026-07-18,AI,4,Medium,77,★★★ Medium,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,59.3293,18.0686,country
Great Wrap,"Australia (Tullamarine, Victoria)",Defunct — entered administration 17 September 2025 and proceeded to liquidation with reported debts exceeding AU$39 million,Great Wrap Pty Ltd,Not publicly available,https://greatwrap.com.au/ (status at time of writing uncertain given company's liquidation),Not publicly available,Not publicly available,Consumer retail buyers (cling/catering wrap) and B2B logistics/warehousing customers requiring compostable pallet wrap; specific named commercial customers were not identified in verified sources.,2019 (company/name registered 2019; commercial operations launched 2020),Was privately held/venture-backed (co-founders Jordy and Julia Kay; investors included DLL Group/Rabobank and Opal ANZ); now in liquidation,"Great Wrap manufactured and sold compostable plastic-film alternatives — cling wrap, catering wrap, and industrial pallet/stretch wrap — targeting both consumer and B2B (logistics/warehousing) markets, alongside a reusable dispenser product (""Great Mate""). Feedstock was sourced from food waste (reported use of potato waste/starch) and other plant-based polymers, positioning the product as compostable rather than merely recyclable. The company pursued an aggressive scale-up strategy funded by a mix of equity and non-dilutive asset finance: a reported AU$24 million Series A round,","Australia (Tullamarine, Victoria)",Consumer/Industrial Goods — Waste Reduction (compostable packaging materials),- DLL Group (Rabobank's asset-financing arm) — provided AU$13 million in non-dilutive equipment financing - Opal ANZ (Australian packaging manufacturer) — AU$5 million partnership to scale compostable pallet wrap production - Reported Australian government grant/support programmes contributing to the company's approximately AU$28 million total raised (specific agencies not confirmed in sources reviewed),"- Raised a reported AU$24 million Series A funding round (2022) plus AU$13 million in non-dilutive financing from DLL Group, and a further AU$5 million from Opal ANZ — total reported investment approaching AU$28 million. - Company revenue reportedly declined approximately 32% from FY2023 to FY2025; FY2025 costs exceeded revenue by over 800% (Packaging Gateway/PKN Packaging News reporting on administrators' findings). - Entered administration 17 September 2025 with debts reported over AU$39 million; all five remaining staff made redundant and",High,Medium,High,"Seed data listed Great Wrap's year established as 2020 — research finds the company name was registered in 2019 (founders met and registered the ""Great Wrap"" name within three months in 2019) with the commercial business launching a year later in 2020, so both years appear in different sources depending on whether ""founding"" refers to registration or commercial launch; this profile lists 2019 as founding with 2020 launch noted for clarity. Critically, seed data did not reflect that the company",great-wrap,"Great Wrap was an Australian manufacturer of compostable cling wrap, catering wrap, and pallet (stretch) wrap made using food waste and potato-starch-derived bioplastics, founded in 2019 by married couple Jordy and Julia Kay (an architect and a former winemaker) after meeting in Melbourne. The company aimed to replace fossil-fuel-based plastic film with a compostable alternative and raised substantial venture and non-dilutive funding — including a reported AU$24 million Series A round and AU$13 million in",Not publicly available,Not publicly available,"Great Wrap was an Australian manufacturer of compostable cling wrap, catering wrap, and pallet (stretch) wrap made using food waste and potato-starch-derived bioplastics, founded in 2019 by married couple Jordy",Not publicly available,"material-recovery, reusable-packaging, waste-reduction",2026-07-18,2026-07-18,AI,9,High,87,★★★ Medium,SDG 12: Responsible Consumption and Production,-33.8688,151.2093,country
Green Around the Corner,Vietnam (Ho Chi Minh City — Thao Dien),Not publicly available,Green Around the Corner — source: vietcetera.com (2025),Not publicly available,Not confirmed in this pass — Facebook/Instagram presence likely; recommend direct verification,Not publicly available,Not publicly available,Thao Dien (District 2) residents and expats seeking sustainable products and a café experience — source: vietcetera.com (2025),Not publicly available,Founded by expat Su Mele — source: vietcetera.com (2025),"Café that doubles as a concept store curating sustainable products from local businesses, including upcycled toy cars made from architectural scraps, bring-your-own-bottle refillable liquid shampoo, and soap nuts repurposed as natural detergent; also runs 'DIY Bee Wrap' workshops teaching customers to make reusable beeswax food wraps — source: vietcetera.com (2025)",Vietnam (Ho Chi Minh City — Thao Dien),Refill / Zero-waste retail,Not publicly available.,Not publicly available.,Medium,Medium,Low,"Corroborated via a detailed, recently-dated (2025) Vietcetera feature naming the founder and specific refill/reuse offerings (BYOB shampoo refills, beeswax wrap workshops) — a strong recency signal confirming this is a currently active business, upgrading confidence from my original entry. --- Confidence — Name: High | Founding Year: Low | Impact Data: Low | Overall: Medium | Last Verified: 03/08/2026 | Research Version: V5 (batch add)",green-around-the-corner,"Café-concept store in Thao Dien founded by expat Su Mele, curating sustainable products from local businesses (upcycled toys, BYOB refillable shampoo, soap-nut detergent) alongside DIY beeswax-wrap workshops.",Not publicly available,Not publicly available,"Café-concept store in Thao Dien founded by expat Su Mele, curating sustainable products from local businesses (upcycled toys, BYOB refillable shampoo, soap-nut detergent) alongside DIY beeswax-wrap workshops.",Not publicly available,refill,2026-07-17,2026-07-17,AI,0,Low,50,Not publicly available,SDG 12: Responsible Consumption and Production,10.8231,106.6297,city
Green Bubble,Ireland (Dublin),Active,Green Bubble,Not publicly available,https://www.green-bubble.ie/,Not publicly available,Not publicly available,"Individual consumers (home movers, online sellers shipping fragile goods, artists/galleries shipping artwork) and businesses across Ireland and Northern Ireland seeking lower-cost, lower-impact packaging materials.",Not publicly available (founder Peter Gregory relocated to Ireland in 2018; exact business-founding date unconfirmed),Private (founder-operated small business; Peter Gregory),"Green Bubble operates a reverse-logistics and resale model: it sources used bubble wrap, foam roll (including silver-foil-lined insulation rolls), hexacomb board, and acetate sheet as waste streams from furniture warehouses and relocation/moving companies in the Dublin area, which would otherwise send this material for incineration or export. The company inspects, cleans, and processes the material (removing tape and residue, re-rolling to standard lengths) before selling it through its own website to individual consumers (for home moves, shipping fragile items, and",Ireland (Dublin),B2B/B2C Services — Reverse Logistics / Material Recovery,"- Sunflower Recycling — social-economy recycling/processing partner employing long-term unemployed individuals - Repak — Irish packaging compliance/producer-responsibility scheme; Green Bubble is a member and founder Peter Gregory received its ""Green Business Person of the Month"" recognition - Rediscovery Centre — collaboration on reuse education - The Earthy Marketplace — retail/marketplace partner - Fingal County Council — collaboration connecting and educating","- Diverted over 4,500 square metres (reported as over three tonnes) of bubble wrap away from incineration and export, per the company's own reporting. - Company states this also represents 4,500+ square metres of virgin bubble wrap production avoided. - No independently audited (third-party, non-company) verification of these figures was found; treat as company-reported.",High,Low,Medium,"Seed data described Green Bubble as a ""reused bubble-wrap/foam roll B2B supply"" operation in Ireland — corroborated, though the company also serves individual/consumer customers (home movers, artwork shippers), not exclusively B2B. Founder identified as Peter Gregory via Newstalk podcast coverage and a Facebook post naming him ""founder of Green Bubble and Repak Green Business Person of the Month."" No specific company founding/incorporation year could be verified in any source reviewed, including the company's own ""Our Story""/""About"" pages, which returned 404",green-bubble,"Green Bubble is a Dublin-based enterprise founded by Peter Gregory that gives previously-used packaging materials — bubble wrap, foam roll, hexacomb cardboard board, and acetate sheet — a second life rather than allowing them to be incinerated or landfilled. The company collects discarded bubble wrap from furniture warehouses and relocation companies in Dublin, cleans and repackages it (removing tape, rolling it into resalable lengths), and sells it at a discount to households and businesses via",Not publicly available,Not publicly available,"Green Bubble is a Dublin-based enterprise founded by Peter Gregory that gives previously-used packaging materials — bubble wrap, foam roll, hexacomb cardboard board, and acetate sheet — a second life",Not publicly available,"material-recovery, reusable-packaging, reverse-logistics, waste-reduction",2026-07-18,2026-07-18,AI,4,Medium,63,★★★ Medium,SDG 12: Responsible Consumption and Production,53.3498,-6.2603,city
Green Come True,"United States (Lawrence, Kansas, with delivery into Kansas City/Overland Park)",Active,Green Come True,Not publicly available,https://greencometrue.co/,Not publicly available,Not publicly available,"Local residents of Lawrence, Kansas, and the greater Kansas City/Overland Park/Johnson County area purchasing in-store, at farmers markets, online, or via home delivery; some bulk/commercial customers.",Not publicly available,"Private (small, family-run business)","Green Come True manufactures its own line of household and body-care soaps (cleaning products, hand and body soaps) locally, then distributes them through multiple no-single-use-plastic channels: an in-store/by-appointment retail location in Lawrence, Kansas; seasonal stalls at the Lawrence Farmers Market (Saturdays) and Overland Park Farmers Market; an online store for direct ordering; and a ""milkman-style"" home delivery service (free delivery) reaching Lawrence on Fridays and the Kansas City/Overland Park area on Saturdays. Customers either bring reusable containers for refills or","United States (Lawrence, Kansas, with delivery into Kansas City/Overland Park)",Consumer Goods — Refill Systems,"Not publicly available. No verifiable third-party corporate, NGO, or municipal partnerships were identified; the business appears to operate independently, with community presence via the Lawrence Chamber of Commerce and Lawrence/Overland Park Farmers Markets.","Not publicly available. No independently verifiable, dated quantitative impact metrics (packaging avoided, customer counts, volume of refills) were found.",High,Low,Low,"Seed data described Green Come True as a ""United States"" zero-waste store with ""mobile refill + climate activism"" — the specific location (Lawrence, Kansas, with Kansas City/Overland Park delivery) is now confirmed via multiple local-business sources, correcting the seed's country-only geography. The ""climate activism"" framing from seed data could not be independently verified beyond general zero-waste-lifestyle-education messaging common to shops of this type; no distinct activism programme or campaign was documented. Founding year, founder name, and ownership structure remain unconfirmed",green-come-true,"Green Come True is a small, family-run zero-waste soap and household-product refill business based in Lawrence, Kansas, described in local coverage as Lawrence's original zero-waste soap refill store. It makes its own locally-crafted household cleaning and personal-care soaps, sold plastic-free through a physical storefront, seasonal farmers-market stalls (Lawrence and Overland Park), online ordering, and a ""milkman-style"" free home-delivery route serving Lawrence and the greater Kansas City area. The business also frames itself around broader ""climate",Not publicly available,Not publicly available,"Green Come True is a small, family-run zero-waste soap and household-product refill business based in Lawrence, Kansas, described in local coverage as Lawrence's original zero-waste soap refill store. It makes",Not publicly available,"consumer-education, refill, reusable-packaging, reverse-logistics",2026-07-18,2026-07-18,AI,4,Low,53,★★ Low,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,39.8283,-98.5795,country
Green Joy,"Vietnam — Long An, Mekong Delta (registered office: Ho Chi Minh City)",Active,Greenjoy Company Limited,Not publicly available,https://greenjoystraw.com/en,Not publicly available,Not publicly available,"Food-service businesses (hotels, restaurants, cafés) in Vietnam (1,000+ reported) and internationally; individual consumers via e-commerce marketplaces (Amazon, Shopee, Tiki).","2018 (Business Registration Certificate, Tax Code 0315318999, issued 10 Oct 2018); Equator Initiative/UNDP profile cites 2019 — see Verification Notes",Private Company,"Green Joy manufactures single-use-alternative straws, utensils, and related products from natural grass and plant fibre, sold through two channels: direct-to-consumer e-commerce (its own site, Amazon, Shopee, Tiki) and B2B/wholesale supply to the Horeca (Hotel/Restaurant/Café) sector. It reports over 1,000 Horeca customers within Vietnam and export relationships covering 30+ countries, with roughly 80% of production exported to markets including the US, Germany, France, Belgium, Poland, Japan, and South Korea. It supplies international luxury hotel and resort supply chains in Vietnam and","Vietnam — Long An, Mekong Delta (registered office: Ho Chi Minh City)",Consumer Brand (secondary: Packaging Manufacturer),"- Amazon, Shopee, Tiki (e-commerce distribution) - Farmer cooperatives and commune committees in the Mekong Delta (raw material supply) - F&B distributors (per Equator Initiative/UNDP profile)","Figures are self-reported (official website) and via the UNDP-affiliated Equator Initiative Nature-Based Solutions Database — the two sources give different totals for the same underlying claim, both undated to a specific year (cumulative-to-date figures): - Official site (greenjoystraw.com): 40 million plastic straws replaced; 20 tons of plastic mass reduced; 50 tons of CO2 emissions reduced; 100 farmers/local people supported. - Equator Initiative / UNDP profile (2024): 40 million plastic straws replaced; 250 tons of plastic mass reduced; 200 tons of",High,Medium,Low,See organisations/green-joy.md,green-joy,"Green Joy is a Vietnamese company that manufactures compostable drinking straws and food-service utensils from grey sedge (Lepironia) grass and other natural materials native to the Mekong Delta, alongside handicrafts from bamboo, wood, and palm leaf. Founded by CEO Vo Quoc Thao Nguyen, it positions itself as a plastic-straw replacement for the hospitality industry and consumer market. The company sources raw material from smallholder farmers in Long An province and exports the majority of its",Not publicly available,Not publicly available,"Green Joy is a Vietnamese company that manufactures compostable drinking straws and food-service utensils from grey sedge (Lepironia) grass and other natural materials native to the Mekong Delta, alongside handicrafts",Not publicly available,"consumer-education, material-recovery, waste-reduction",2026-07-17,2026-07-17,AI,7,Medium,63,★★ Low,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,10.8231,106.6297,city
Green Kulture,Singapore,Active,Green Kulture,Not publicly available,https://greenkulture.sg/,Not publicly available,Not publicly available,"Singapore households purchasing via the company's own website, NTUC FairPrice and Lazada online/retail channels, and smaller sustainability-focused marketplaces (The Green Collective SG, The Social Space, Robinsons Singapore).",Not publicly available,"Private (founder-led brand; founder referred to publicly only by first name, ""Roy"")","Green Kulture manufactures a line of natural, enzyme-based household cleaners (dishwashing liquid, hand soap, multi-purpose cleaner, floor cleaner, laundry liquid, delicate/lingerie wash) formulated using a proprietary ""Multi-Enzyme Technology"" that the company states is derived by collecting unsold fruits and vegetables destined for disposal from wholesalers, then sorting and processing them for enzyme extraction — combining a waste-valorisation input with a chemical-free product positioning. Products are sold in standard retail sizes (250ml–800ml) through the company's own e-commerce site and via retail",Singapore,Consumer Goods — Refill Systems,"- NTUC FairPrice — Singapore retail distribution - Lazada — e-commerce distribution - The Green Collective SG, The Social Space, Robinsons Singapore — smaller retail/marketplace listings No investor, NGO, or government partnerships were identified in public sources.","Not publicly available. No independently verifiable, dated quantitative metrics (volume of food waste diverted, plastic avoided, unit sales) were found; the company's fruit/vegetable-feedstock sourcing claim is self-reported and not independently audited.",High,Low,Low,"Seed data described Green Kulture as offering ""natural cleaner bulk refill jugs (up to 5L)"" — corroborated; the 5L bulk refill pack is confirmed on the official site. Founder is referred to only by first name (""Roy"") across available sources; no last name, founding year, or company registration details could be verified. A separate, unrelated Singapore-registered company ""GREEN CULTURE"" (Phalaenopsis orchid breeding, registered 2010, now cancelled) was found during searches and should not be confused with this Green Kulture cleaning-products",green-kulture,"Green Kulture is a Singapore-developed and -manufactured natural household cleaning brand built around proprietary ""Multi-Enzyme Technology"" derived from fruit and vegetable enzymes rather than harsh synthetic chemicals. According to the company, the brand was created by a founder (identified publicly only as ""Roy"") motivated by concerns over the chemical content of household products after becoming a father. Its core sustainability practice is sourcing unsold, disposal-bound fruit and vegetables from wholesalers as feedstock for its enzyme",Not publicly available,Not publicly available,"Green Kulture is a Singapore-developed and -manufactured natural household cleaning brand built around proprietary ""Multi-Enzyme Technology"" derived from fruit and vegetable enzymes rather than harsh synthetic chemicals. According to the",Not publicly available,"consumer-education, material-recovery, refill, waste-reduction",2026-07-18,2026-07-18,AI,4,Low,53,★★★ Medium,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,1.3521,103.8198,country
Green Lady Vietnam,Vietnam,Active,"Green Lady Vietnam (also referenced as ""Green Lady"")",Not publicly available,https://www.facebook.com/greenladyvietnam/ (primary online presence; also listed via xanhsuot.vn),Not publicly available,Not publicly available,"Individual consumers in Vietnam and regionally in Cambodia, the Philippines, and Thailand; export customers in the United States, Europe, India, Japan, and South Korea; course/workshop participants for the educational programming.",2017,Private (independent social enterprise founded and led by Bui Thi Minh Ngoc),"Green Lady Vietnam designs, manufactures, and sells reusable cloth menstrual pads made from naturally sourced, absorbent, washable, and quick-drying fabric, targeting the large disposable-sanitary-product replacement market in Vietnam and neighbouring Southeast Asian countries. Founder Bui Thi Minh Ngoc built the business around a dual value proposition: environmental (a standard disposable sanitary towel reportedly takes as long to decompose as four plastic bags, and an average woman may use up to 10,000 disposable pads across her lifetime) and social (a stated",Vietnam,Consumer Goods — Reusable Packaging (reusable menstrual/hygiene products),"Not publicly available. No verifiable corporate, NGO, or government partnerships were identified in the sources reviewed; the enterprise appears to be independently founder-led.","Not publicly available. No independently verifiable, dated quantitative metrics (units sold, waste displaced, women employed) were found; cited figures on disposable-pad decomposition time and lifetime usage (10,000 pads) are general public-health/environmental statistics rather than Green Lady Vietnam-specific impact data.",High,High,Low,"Seed data described Green Lady Vietnam as offering ""reusable cloth sanitary pads + eco essentials"" — corroborated and further detailed via Tuoi Tre News coverage, which additionally confirmed the founding year (2017) and founder identity (Bui Thi Minh Ngoc), neither of which was in the seed data. Direct WebFetch of the Facebook page returned only a truncated snippet (""Green Lady Vietnam [Content truncated due to length...]""), so most verified detail comes from the Tuoi Tre News feature rather than the",green-lady-vietnam,"Green Lady Vietnam is a social enterprise established in 2017 by Bui Thi Minh Ngoc to produce reusable cloth menstrual pads designed specifically for Vietnamese women, addressing both plastic waste from disposable sanitary products and access to affordable, comfortable menstrual care. Ngoc developed the product after struggling to source suitable fabric — naturally made, absorbent, washable, and quick-drying — and built the venture around both product sales and educational courses on ecological living and reproductive",Not publicly available,Not publicly available,"Green Lady Vietnam is a social enterprise established in 2017 by Bui Thi Minh Ngoc to produce reusable cloth menstrual pads designed specifically for Vietnamese women, addressing both plastic waste",Not publicly available,"consumer-education, reusable-packaging, waste-reduction",2026-07-18,2026-07-18,AI,3,Medium,77,★★★ Medium,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,21.0285,105.8542,country
